COSMIC_ID,CELL_LINE_NAME,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
749712,HCC1395,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.302306,0.7750269999999999
749713,HCC1599,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.246145,0.8395849999999999
749714,HCC1937,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.70577,0.869871
749715,HCC2157,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,0.187767,0.6798489999999999
749716,HCC2218,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,3.346945,0.950766
749717,HCC38,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,4.742462,0.959035
905945,T47D,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.957418,0.8396429999999999
905946,MCF7,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.619445,0.862061
905951,BT-549,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.260112,0.831278
905957,Hs-578-T,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.131424,0.7553759999999999
905960,MDA-MB-231,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,3.81253,0.950208
906801,BT-20,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.154319,0.8848389999999999
906812,COLO-824,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.413207,0.792306
906826,CAL-120,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,5.648228,0.939776
906844,DU-4475,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.4021369999999997,0.928174
906851,EFM-19,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.088701,0.7490939999999999
906862,EVSA-T,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-1.034357,0.51747
907045,HCC1419,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.517315,0.898069
907046,HCC1569,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.241151,0.776937
907048,HCC70,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,0.160715,0.6682389999999999
908120,MDA-MB-175-VII,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,0.489442,0.651859
908121,MDA-MB-361,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,0.7816219999999999,0.7398359999999999
908122,MDA-MB-453,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-0.1878449999999999,0.619289
908123,MDA-MB-468,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.757151,0.8938809999999999
908151,MRK-nu-1,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,5.268168,0.994745
909256,OCUB-M,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-0.6663779999999999,0.565684
909778,UACC-893,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-0.426118,0.590457
909907,ZR-75-30,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.889262,0.853331
